title,price_clean,bedrooms,bathrooms,toilets,area,has_pool,has_gym,has_parking,has_bq,has_elevator,is_newly_built,is_furnished,is_serviced,has_security,has_generator,has_ac,has_wifi,property_type
2 & 3 Bedroom Apartments,27000000.0,2.0,2.0,3.0,Victoria Island,0,0,0,1,0,0,1,1,0,0,0,0,Apartment
Distress 7units Of 5bedroom Terraces Duplexes +bq,2500000000.0,,,,Close To Nnpc Guzape,0,0,0,1,0,0,0,0,1,0,0,1,Duplex
Commercial Space,3500000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Commercial
4 Bedroom Detached House,30000000.0,4.0,4.0,5.0,Lekki Phase 1 Lekki,0,0,1,1,0,1,0,0,0,0,0,0,Detached
4 Bedroom Apartment,40000000.0,4.0,4.0,5.0,Ikoyi,0,0,0,1,0,0,0,1,0,0,0,0,Apartment
3 Bedroom Bungalow,16000000.0,3.0,3.0,4.0,Oniru Victoria Island,0,0,0,0,0,1,0,0,0,0,0,0,Other
2 Bedroom Apartment,15000000.0,2.0,2.0,3.0,Ikate Lekki,1,1,0,0,0,0,1,1,0,0,0,0,Apartment
3 Bedroom Apartment,20000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,1,0,0,0,0,0,Apartment
Commercial Property,150000000.0,,,,Victoria Island,0,0,0,0,0,0,0,0,0,0,0,0,Commercial
2 Bedroom Apartment,5500000.0,2.0,2.0,3.0,Osapa London Lekki,0,0,1,0,0,1,0,1,0,0,0,0,Apartment
3 Bedroom Terrace House,40000000.0,3.0,3.0,4.0,Old Ikoyi Ikoyi,1,1,0,1,0,0,0,1,0,0,0,0,Terrace
3 Bedroom Apartment,60000000.0,3.0,3.0,4.0,Victoria Island,1,1,1,1,1,0,0,1,0,0,0,0,Apartment
3 Bedroom Apartment + Bq,25000000.0,3.0,3.0,4.0,Ikoyi,0,0,1,1,1,0,0,1,0,0,0,0,Apartment
Sweet And Beautiful Fully Furnished Shared Apartment,2200000.0,1.0,1.0,1.0,Mobil Road Ikota Lekki,0,0,1,0,0,0,1,0,1,0,1,1,Apartment
3 Bedroom Terrace Apartment,65000000.0,3.0,3.0,4.0,Banana Island Ikoyi,1,0,0,1,0,0,0,1,0,0,0,0,Terrace
3 Bedroom Apartment,28000000.0,3.0,3.0,4.0,Ikoyi,1,0,1,0,0,0,0,0,0,0,0,0,Apartment
3 Bedroom Apartment With Bq,12000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,0,0,1,1,0,0,0,0,0,0,0,0,Apartment
Furnished 3 Bedroom Apartment,25000000.0,3.0,3.0,4.0,Victoria Island,0,0,1,0,0,0,1,1,0,0,0,0,Apartment
3 Bedroom Apartment,30000000.0,3.0,3.0,4.0,Victoria Island,1,1,1,0,1,0,0,1,0,0,0,0,Apartment
3 Bedroom Luxury Flat,10000000.0,3.0,3.0,4.0,Lekki,1,1,1,0,1,0,0,1,0,0,0,0,Apartment
Commercial Space,80000000.0,,,,Victoria Island,0,0,0,0,0,0,0,0,0,0,0,0,Commercial
3 Bedroom Apartment With Bq,13000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,0,0,1,1,0,0,0,1,0,0,0,0,Apartment
Commercial Detached Property,40000000.0,,,,Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Detached
"5 Bedroom Duplex + 15kva Inverter, Bq & Pool",16000000.0,5.0,5.0,6.0,Orchid Lekki,1,0,0,1,0,0,0,0,0,0,0,0,Duplex
2 Bedroom Apartment,27000000.0,2.0,2.0,3.0,Victoria Island,1,1,1,0,1,0,1,1,0,0,0,0,Apartment
3 Bedroom Apartment,20000000.0,3.0,3.0,4.0,Oniru Victoria Island,1,1,1,1,0,0,0,0,0,0,0,0,Apartment
2 Bedroom Apartment With Bq,14000000.0,2.0,2.0,3.0,Lekki,1,1,1,1,0,0,0,1,0,0,0,0,Apartment
5 Bedroom Semi Detached Duplex,40000000.0,,,,Osborne Foreshore Estate Ikoyi,0,0,0,1,0,0,0,1,0,0,0,0,Duplex
4 Bedroom Terrace Duplex,20000000.0,4.0,4.0,5.0,Ikate Lekki,1,1,0,1,0,0,1,1,0,0,0,0,Duplex
4 Bedroom Terrace Duplex,25000000.0,4.0,4.0,5.0,Lekki Phase 1 Lekki,1,0,0,1,0,0,0,1,0,0,0,0,Duplex
1 Unit Shop,3500000.0,,,,Lekki Phase 1 Lekki,0,0,1,0,0,0,0,0,0,0,0,0,Other
3 Bedroom Maisonette,12000000.0,3.0,3.0,4.0,Oniru Victoria Island,0,0,1,0,0,0,0,1,0,0,0,0,Maisonette
4 Bedroom Terrace Duplex,25000000.0,4.0,4.0,5.0,Ikoyi,0,0,1,1,0,0,0,0,0,0,0,0,Duplex
Furnished 3 Bedroom Apartment,14000000.0,3.0,3.0,4.0,Victoria Island,0,0,1,0,0,0,1,0,0,0,0,0,Apartment
3 Bedroom Flat,12000000.0,3.0,3.0,4.0,Oniru Victoria Island,0,0,1,1,0,0,0,0,0,0,0,0,Apartment
3 Bedroom Apartment,20000000.0,3.0,3.0,4.0,Oniru Victoria Island,1,1,1,0,0,0,0,0,1,0,1,1,Apartment
3 Bedroom Maisonette,12000000.0,3.0,3.0,4.0,Oniru Victoria Island,0,0,1,0,0,0,0,1,0,0,0,0,Maisonette
4 Bedroom Terrace Duplex,25000000.0,4.0,4.0,5.0,Ikoyi,0,0,1,1,0,0,0,0,0,0,0,0,Duplex
Furnished 3 Bedroom Apartment,14000000.0,3.0,3.0,4.0,Victoria Island,0,0,1,0,0,0,1,0,0,0,0,0,Apartment
3 Bedroom Flat,12000000.0,3.0,3.0,4.0,Oniru Victoria Island,0,0,1,1,0,0,0,0,0,0,0,0,Apartment
2 Bedroom Apartment,10000000.0,2.0,2.0,3.0,Ikate Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
1200sqm Bareland,100000000.0,,,,Victoria Island,0,0,0,0,0,0,0,0,0,0,0,0,Other
3 Bedroom Duplex,13000000.0,3.0,3.0,4.0,Lekki,1,1,1,0,1,0,0,1,0,0,0,0,Duplex
3 Bedroom Apartment,16000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,0,1,0,0,0,0,Apartment
2 Bedroom Apartment,7000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
5 Bedroom Detached Duplex With Pool & Bq,300000000.0,5.0,5.0,6.0,Estate Ajah,1,0,1,1,0,0,0,0,1,0,1,0,Duplex
Commercial Building With Multiple Office Space,500000000.0,,,,Victoria Island,0,0,1,0,0,0,0,0,0,0,0,0,Office
Commercial Property,40000000.0,,,,Lekki Phase 1 Lekki,0,0,0,1,0,0,0,1,0,0,0,0,Commercial
2 Bedroom Furnished Apartment,16000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,1,0,0,0,0,0,Apartment
Furnished 2 Bedroom Apartment,20000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,1,0,0,0,0,0,Apartment
Shop Space,12500000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Other
4 Bedroom Detached Duplex,25000000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Duplex
2 Bedroom Apartment,29527500.0,2.0,2.0,3.0,Victoria Island,0,1,1,0,1,0,0,1,0,0,0,0,Apartment
3 Bedroom Apartment With Bq,45000000.0,3.0,3.0,4.0,Victoria Island,1,1,1,1,1,0,0,1,0,0,0,0,Apartment
4 Bedroom Terrace Duplex,25000000.0,4.0,4.0,5.0,Ikoyi,0,0,1,1,0,0,0,1,0,0,0,0,Duplex
6 Units Of 3 Bedroom Apartment,150000000.0,3.0,3.0,4.0,Parkview Estate Ikoyi,1,1,1,0,0,0,0,1,0,0,0,0,Apartment
Land Measuring 3159sqm,120000000.0,,,,Ikoyi,0,0,0,0,0,0,0,0,0,0,0,0,Other
5 Bedroom Semi Detached Duplex,100000000.0,5.0,5.0,5.0,Banana Island Ikoyi,0,0,1,0,1,0,0,0,0,0,0,0,Duplex
2 Bedroom Furnished Apartment,16000000.0,2.0,2.0,3.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,1,0,0,0,0,0,Apartment
Shop Space,12500000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Other
2 Bedroom Apartment,29527500.0,2.0,2.0,3.0,Victoria Island,0,1,1,0,1,0,0,1,0,0,0,0,Apartment
3 Bedroom Apartment With Bq,45000000.0,3.0,3.0,4.0,Victoria Island,1,1,1,1,1,0,0,1,0,0,0,0,Apartment
4 Bedroom Terrace Duplex,25000000.0,4.0,4.0,5.0,Ikoyi,0,0,1,1,0,0,0,1,0,0,0,0,Duplex
6 Units Of 3 Bedroom Apartment,150000000.0,3.0,3.0,4.0,Parkview Estate Ikoyi,1,1,1,0,0,0,0,1,0,0,0,0,Apartment
Land Measuring 3159sqm,120000000.0,,,,Ikoyi,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built 2 Bedroom Flat,12000000.0,2.0,2.0,2.0,Off Freedom Way Lekki Phase 1 Lekki,0,1,0,0,1,1,0,1,0,0,0,0,Apartment
210sqm Serviced Open Office Space (penthouse),70000.0,,,,Alausa Ikeja,0,0,0,0,0,0,0,1,0,0,0,0,Office
4 Bedroom Semi Detached Home,360000000.0,4.0,4.0,5.0,Ikate Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Semi-Detached
Newly Built & Serviced 3 Bedroom Flat,22000000.0,3.0,3.0,4.0,Lekki Phase 1 Lekki,1,1,0,0,1,1,0,1,0,0,0,0,Apartment
Serviced & Spacious One Room Self Contain(upstairs),3000000.0,1.0,1.0,1.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Other
Serviced 1 Bedroom Apartment,6000000.0,1.0,1.0,1.0,Off Bourdillon Road Old Ikoyi Ikoyi,1,0,0,0,0,0,0,1,0,0,0,0,Apartment
Warehouse Measuring Approximately 320sqm,45000000.0,,,,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Other
Self Serviced 2 Bedroom Flat,2000000.0,2.0,2.0,2.0,Oniru Victoria Island,0,0,0,0,0,0,1,0,0,0,0,0,Apartment
Land,125000000.0,,,,Elf Lekki Phase 1 Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Other
Warehouse Measuring 650sqm,50000.0,,,,Oba Akran Ikeja,0,0,0,0,0,0,0,0,0,0,0,0,Other
Serviced Room & Parlour Self Contain (mini Flat),5000000.0,1.0,1.0,1.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Fully Serviced Studio Apartment,3000000.0,1.0,1.0,1.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Serviced Mini Flat,5500000.0,1.0,1.0,1.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Serviced 3bedroom Flat With Bq (24hrs Light),16000000.0,3.0,3.0,3.0,Lekki Right Lekki Phase 1 Lekki,0,0,0,1,0,0,0,1,0,0,0,0,Apartment
Commercial 5 Bedroom Fully Detached Duplex + 3bq,90000000.0,,,6.0,Victoria Island,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
4bedroom Terrace Duplex With Bq,12000000.0,4.0,4.0,4.0,Magodo Brooks Magodo Kosofe/Ikosi,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
Serviced Room & Parlour Self Contain (mini Flat),5000000.0,1.0,1.0,1.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Fully Serviced Studio Apartment,3000000.0,1.0,1.0,1.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Serviced Mini Flat,5500000.0,1.0,1.0,1.0,Lekki Phase 1 Lekki,0,0,0,0,0,0,0,1,0,0,0,0,Apartment
Serviced 3bedroom Flat With Bq (24hrs Light),16000000.0,3.0,3.0,3.0,Lekki Right Lekki Phase 1 Lekki,0,0,0,1,0,0,0,1,0,0,0,0,Apartment
2 Bedroom Apartment,18000000.0,2.0,2.0,2.0,Lekki Phase 1 Lekki,0,0,1,0,0,0,1,0,0,0,0,0,Apartment
Newly Built & Tastefully Finished 2bedroom Flat With Bq,15000000.0,2.0,2.0,3.0,Off Freedom Way Lekki Phase 1 Lekki,0,0,0,1,0,0,0,1,0,0,0,0,Apartment
Apartment,4300000.0,1.0,1.0,1.0,Before Orchid Roundabout Orchid Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Decken Warehouse Measuring 600sqm For Storage Only,25000000.0,,,,Pen Cinema Agege,0,0,0,0,0,0,0,0,0,0,0,0,Other
1000sqm Fully Fenced & Gated Land,1700000000.0,,,,Ikoyi,0,0,0,0,0,0,0,0,0,0,0,0,Other
Luxury 4bedroom Semi Detached Duplex,15000000.0,4.0,4.0,4.0,Idado/Chevron Axis Idado Lekki,0,0,0,0,0,0,0,0,0,0,0,0,Duplex
Office 5 Bedroom Detached Duplex With Bq,15000000.0,5.0,5.0,5.0,Off Ogunusi Road Berger Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Duplex
Serviced Room Self Contained,4500000.0,1.0,1.0,1.0,"Cameron Road, Old Ikoyi Ikoyi",0,0,0,0,0,0,0,1,0,0,0,0,Other
Funished 3 Bedroom Apartment With Bq To Let @ Ikoyi,50000000.0,3.0,3.0,4.0,Banana Island Ikoyi,1,1,1,1,0,0,1,0,0,0,0,0,Apartment
Decent Spacious 3bed Flat,4000000.0,3.0,3.0,4.0,Ogudu Orike Ogudu,0,0,1,0,0,0,0,0,0,0,0,0,Apartment
Decent Spacious 4bed Flat,4500000.0,4.0,4.0,5.0,Ifako Gbagada Gbagada,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Decent Serviced En Suites 3 Bedroom Flat,7000000.0,3.0,3.0,4.0,"Secured Estate, Mende Maryland",0,0,0,1,0,0,0,0,0,0,0,0,Apartment
Brand New Single Room,1000000.0,1.0,1.0,1.0,Olowora Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Decent En Suites 3bed Flat,3500000.0,3.0,2.0,2.0,Ogudu Orike Ogudu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Decent Mini Flat,1200000.0,1.0,1.0,1.0,Aguda(Ogba) Ogba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
New Mini Flat En Suites,2000000.0,1.0,2.0,2.0,Ogunlana Surulere,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
3 Bedroom Apartment,20000000.0,3.0,3.0,4.0,Oniru Victoria Island,1,1,1,0,0,0,0,0,1,0,1,1,Apartment
5bed Semi Detached Duplex With 2bq,20000000.0,5.0,5.0,6.0,Gbagada Phase 2 Gbagada,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
2 Bedroom Apartment,3000000.0,2.0,2.0,3.0,Ogunlana Surulere,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
Newly Reiovated 3bed With Bq,7000000.0,3.0,3.0,4.0,Mende Maryland,0,0,0,0,0,1,0,0,0,0,0,0,Other
Brand New Single Room,1000000.0,1.0,1.0,1.0,Olowora Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Portable 2bed Flat,1500000.0,2.0,2.0,3.0,Ifako Gbagada Gbagada,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Decent Mini Flat,1200000.0,1.0,1.0,1.0,Aguda(Ogba) Ogba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
New Mini Flat En Suites,2000000.0,1.0,2.0,2.0,Ogunlana Surulere,0,0,0,0,0,1,0,0,0,0,0,0,Apartment
Decent Spacious 2bed,4000000.0,2.0,2.0,3.0,Magodo Gra Phase 1 Ojodu,0,0,1,0,0,0,0,0,0,0,0,0,Other
Brand New 4bed Duplex,18000000.0,4.0,4.0,5.0,Omole Phase 1 Ojodu,0,0,0,1,0,1,0,0,0,0,0,0,Duplex
Fully Furnished 2 Bedroom Semi Detached Bungalow,75000000.0,2.0,2.0,3.0,Ajah Lekki,0,0,1,0,0,0,0,1,0,0,0,0,Semi-Detached
Decent Spacious 3bed Flat,4000000.0,3.0,3.0,4.0,Ogudu Orike Ogudu,0,0,1,0,0,0,0,0,0,0,0,0,Apartment
Brand New En Suites 2bed,4500000.0,2.0,2.0,3.0,Mende Maryland,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Renovated Spacious 4bed Duplex,5000000.0,4.0,4.0,5.0,Sparklight Estate Opposite Opic Berger Ojodu,0,0,1,0,0,1,0,0,0,0,0,0,Duplex
Brand New 3bed Duplex,10000000.0,3.0,3.0,4.0,Mende Maryland,0,0,0,0,0,1,0,0,0,0,0,0,Duplex
Spacious Single Room,1500000.0,1.0,1.0,1.0,Alausa Ikeja,0,0,0,0,0,0,0,0,0,0,0,0,Other
5bed Duplex With 2bq,15000000.0,5.0,5.0,6.0,Gbagada Phase 2 Gbagada,0,0,0,1,0,0,0,0,0,0,0,0,Duplex
Brand New En Suites 2bed,6000000.0,2.0,2.0,3.0,Mende Maryland,0,0,0,0,0,1,0,0,0,0,0,0,Other
Decent 3 Bedroom Flat,2700000.0,3.0,2.0,2.0,Off Olusosun Oregun Ikeja,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Clean Old 3bed House,3000000.0,3.0,2.0,2.0,Magodo Gra Phase 1 Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Spacious Mini Flat,2500000.0,1.0,2.0,2.0,Omole Phase 2 Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Executive Mini Flat,2000000.0,2.0,2.0,3.0,Sabo Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Ultra Luxury 3 Bedroom Flat&bq ( High Rise ),50000000.0,3.0,4.0,4.0,The Heart Of Victoria Island . Victoria Island,1,1,1,1,1,0,0,1,0,0,0,0,Apartment
Spacious Mini Flat,2500000.0,1.0,2.0,2.0,Omole Phase 2 Ojodu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Executive Mini Flat,2000000.0,2.0,2.0,3.0,Sabo Yaba,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Block Of 4flat Of 3bed,250000000.0,10.0,10.0,10.0,Gbagada Phase 2 Gbagada,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
4bed Duplex,20000000.0,4.0,4.0,5.0,Adeniyi Jones Ikeja,0,0,0,0,0,0,0,0,0,0,0,0,Duplex
Furnished Mini Flat,3500000.0,1.0,1.0,2.0,Adeniyi Jones Ikeja,0,0,0,0,0,0,1,0,0,0,0,0,Apartment
Decent En Suites 2bed,3500000.0,2.0,2.0,3.0,Ifako Gbagada Gbagada,0,0,0,0,0,1,0,0,0,0,0,0,Other
Newly Built Shop Space,5000000.0,,,1.0,Onipan Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built 2 Bedroom Flat,4000000.0,2.0,2.0,3.0,Morocco Shomolu Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
Newly Built Room Self Contain,1300000.0,1.0,1.0,1.0,Pedro Palmgrove Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
2965sqm Office Building On 7 Floors,22500000000.0,,,,Victoria Island,0,0,1,0,1,0,0,0,0,0,0,0,Office
Newly Built Room Self Contain,1000000.0,1.0,1.0,1.0,Bajulaiye Shomolu Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built Room Self Contained,1000000.0,1.0,1.0,1.0,Onipan Palmgrove Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built Room Self Contain,900000.0,1.0,1.0,1.0,Pedro Shomolu Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Other
Newly Built Mini Flat,3000000.0,1.0,1.0,2.0,Pedro Palmgrove Shomolu,0,0,0,0,0,0,0,0,0,0,0,0,Apartment
